PT 2,PT 1,PT 3
418.0,418.0,438.2928072
416.6,416.6,436.8821873
415.3,415.3,435.4770118
414.0,414.0,434.0772563
412.6,412.6,432.6828965
411.3,411.3,431.293908
410.0,410.0,429.9102668
408.7,408.7,428.5319488
407.4,407.4,427.1589302
406.1,406.1,425.7911871
404.8,404.8,424.4286961
403.5,403.5,423.0714335
402.2,402.2,421.719376
400.9,400.9,420.3725003
399.6,399.6,419.0307832
398.3,398.3,417.6942017
397.1,397.1,416.3627329
395.8,395.8,415.036354
394.6,394.6,413.7150423
393.3,393.3,412.3987753
392.0,392.0,411.0875304
390.8,390.8,409.7812853
389.6,389.6,408.4800178
388.3,388.3,407.1837059
387.1,387.1,405.8923274
385.9,385.9,404.6058605
384.7,384.7,403.3242834
383.4,383.4,402.0475745
382.2,382.2,400.7757121
381.0,381.0,399.5086749
379.8,379.8,398.2464415
378.6,378.6,396.9889906
377.4,377.4,395.7363011
376.2,376.2,394.4883521
375.0,375.0,393.2451225
373.9,373.9,392.0065917
372.7,372.7,390.7727388
371.5,371.5,389.5435433
370.3,370.3,388.3189846
369.2,369.2,387.0990425
368.0,368.0,385.8836965
366.9,366.9,384.6729266
365.7,365.7,383.4667125
364.6,364.6,382.2650344
363.4,363.4,381.0678723
362.3,362.3,379.8752065
361.2,361.2,378.6870172
360.0,360.0,377.503285
358.9,358.9,376.3239901
357.8,357.8,375.1491134
356.7,356.7,373.9786355
355.6,355.6,372.8125371
354.5,354.5,371.6507992
353.4,353.4,370.4934028
352.3,352.3,369.340329
351.2,351.2,368.1915588
350.1,350.1,367.0470737
349.0,349.0,365.9068549
347.9,347.9,364.770884
346.8,346.8,363.6391424
345.8,345.8,362.5116118
344.7,344.7,361.3882739
343.6,343.6,360.2691107
342.5,342.5,359.1541039
341.5,341.5,358.0432355
340.4,340.4,356.9364878
339.4,339.4,355.8338428
338.3,338.3,354.7352828
337.3,337.3,353.6407901
336.3,336.3,352.5503473
335.2,335.2,351.4639368
334.2,334.2,350.3815413
333.2,333.2,349.3031434
332.1,332.1,348.228726
331.1,331.1,347.1582718
330.1,330.1,346.091764
329.1,329.1,345.0291854
328.1,328.1,343.9705192
327.1,327.1,342.9157487
326.1,326.1,341.8648571
325.1,325.1,340.8178277
324.1,324.1,339.7746441
323.1,323.1,338.7352897
322.1,322.1,337.6997482
321.1,321.1,336.6680033
320.1,320.1,335.6400387
319.2,319.2,334.6158383
318.2,318.2,333.595386
317.2,317.2,332.5786658
316.3,316.3,331.5656618
315.3,315.3,330.5563582
314.3,314.3,329.5507392
313.4,313.4,328.5487891
312.4,312.4,327.5504923
311.5,311.5,326.5558333
310.5,310.5,325.5647966
309.6,309.6,324.5773669
308.7,308.7,323.5935288
307.7,307.7,322.6132671
306.8,306.8,321.6365667
305.9,305.9,320.6634124
304.9,304.9,319.6937893
304.0,304.0,318.7276824
303.1,303.1,317.7650769
302.2,302.2,316.8059579
301.3,301.3,315.8503107
300.4,300.4,314.8981207
299.5,299.5,313.9493733
298.6,298.6,313.0040539
297.7,297.7,312.0621482
296.8,296.8,311.1236418
295.9,295.9,310.1885203
295.0,295.0,309.2567696
294.1,294.1,308.3283754
293.2,293.2,307.4033236
292.3,292.3,306.4816003
291.5,291.5,305.5631915
290.6,290.6,304.6480832
289.7,289.7,303.7362617
288.9,288.9,302.8277131
288.0,288.0,301.9224238
287.1,287.1,301.0203802
286.3,286.3,300.1215686
285.4,285.4,299.2259756
284.6,284.6,298.3335878
283.7,283.7,297.4443917
282.9,282.9,296.558374
282.0,282.0,295.6755216
281.2,281.2,294.7958211
280.4,280.4,293.9192596
279.5,279.5,293.0458239
278.7,278.7,292.1755011
277.9,277.9,291.309801
277.1,277.1,290.4481594
276.2,276.2,289.5905504
275.4,275.4,288.7369481
274.6,274.6,287.8873269
273.8,273.8,287.0416615
273.0,273.0,286.1999267
272.2,272.2,285.3620975
271.4,271.4,284.5281492
270.6,270.6,283.6980572
269.8,269.8,282.871797
269.1,269.1,282.0493446
268.3,268.3,281.230676
267.5,267.5,280.4157673
266.7,266.7,279.604595
266.0,266.0,278.7971357
265.2,265.2,277.993366
264.4,264.4,277.1932631
263.7,263.7,276.3968039
262.9,262.9,275.6039659
262.2,262.2,274.8147265
261.4,261.4,274.0290634
260.7,260.7,273.2469544
259.9,259.9,272.4683777
259.2,259.2,271.6933113
258.4,258.4,270.9217336
257.7,257.7,270.1536233
257.0,257.0,269.3889589
256.2,256.2,268.6277193
255.5,255.5,267.8698837
254.8,254.8,267.1154311
254.1,254.1,266.364341
253.4,253.4,265.6165928
252.7,252.7,264.8721662
251.9,251.9,264.1310411
251.2,251.2,263.3931975
250.5,250.5,262.6586154
249.8,249.8,261.9272752
249.1,249.1,261.1991574
248.5,248.5,260.4742425
247.8,247.8,259.7525112
247.1,247.1,259.0339445
246.4,246.4,258.3185234
245.7,245.7,257.606229
245.0,245.0,256.8970427
244.4,244.4,256.190946
243.7,243.7,255.4879204
243.0,243.0,254.7879477
242.3,242.3,254.0910098
241.7,241.7,253.3970886
241.0,241.0,252.7061664
240.4,240.4,252.0182254
239.7,239.7,251.3332481
239.1,239.1,250.6512169
238.4,238.4,249.9721146
237.8,237.8,249.2959239
237.1,237.1,248.6226279
236.5,236.5,247.9522095
235.8,235.8,247.284652
235.2,235.2,246.6199386
234.6,234.6,245.9580529
233.9,233.9,245.2989783
233.3,233.3,244.6426985
232.7,232.7,243.9891974
232.1,232.1,243.3384589
231.4,231.4,242.6904669
230.8,230.8,242.0452057
230.2,230.2,241.4026595
229.6,229.6,240.7628127
229.0,229.0,240.1256499
228.4,228.4,239.4911555
227.8,227.8,238.8593143
227.2,227.2,238.2301112
226.6,226.6,237.6035312
226.0,226.0,236.9795592
225.4,225.4,236.3581804
224.8,224.8,235.7393801
224.2,224.2,235.1231437
223.6,223.6,234.5094566
223.0,223.0,233.8983044
222.4,222.4,233.2896729
221.8,221.8,232.6835477
221.3,221.3,232.0799149
220.7,220.7,231.4787603
220.1,220.1,230.8800701
219.5,219.5,230.2838304
219.0,219.0,229.6900277
218.4,218.4,229.0986481
217.8,217.8,228.5096783
217.3,217.3,227.9231047
216.7,216.7,227.3389141
216.2,216.2,226.7570933
215.6,215.6,226.177629
215.0,215.0,225.6005083
214.5,214.5,225.0257182
213.9,213.9,224.4532458
213.4,213.4,223.8830783
212.8,212.8,223.3152031
212.3,212.3,222.7496076
211.8,211.8,222.1862792
211.2,211.2,221.6252055
210.7,210.7,221.0663742
210.2,210.2,220.5097731
209.6,209.6,219.9553899
209.1,209.1,219.4032126
208.6,208.6,218.8532292
208.0,208.0,218.3054277
207.5,207.5,217.7597964
207.0,207.0,217.2163235
206.5,206.5,216.6749973
206.0,206.0,216.1358062
205.4,205.4,215.5987388
204.9,204.9,215.0637834
204.4,204.4,214.530929
203.9,203.9,214.000164
203.4,203.4,213.4714774
202.9,202.9,212.944858
202.4,202.4,212.4202947
201.9,201.9,211.8977767
201.4,201.4,211.3772929
200.9,200.9,210.8588326
200.4,200.4,210.3423849
199.9,199.9,209.8279393
199.4,199.4,209.3154851
198.9,198.9,208.8050118
198.4,198.4,208.2965089
197.9,197.9,207.789966
197.4,197.4,207.2853727
197.0,197.0,206.7827189
196.5,196.5,206.2819943
196.0,196.0,205.7831888
195.5,195.5,205.2862923
195.0,195.0,204.7912949
194.6,194.6,204.2981866
194.1,194.1,203.8069577
193.6,193.6,203.3175982
193.2,193.2,202.8300984
192.7,192.7,202.3444488
192.2,192.2,201.8606396
191.8,191.8,201.3786614
191.3,191.3,200.8985047
190.8,190.8,200.4201601
190.4,190.4,199.9436182
189.9,189.9,199.4688697
189.5,189.5,198.9959055
189.0,189.0,198.5247163
188.6,188.6,198.055293
188.1,188.1,197.5876266
187.7,187.7,197.1217081
187.2,187.2,196.6575286
186.8,186.8,196.1950792
186.3,186.3,195.734351
185.9,185.9,195.2753354
185.4,185.4,194.8180235
185.0,185.0,194.3624069
184.6,184.6,193.9084768
184.1,184.1,193.4562247
183.7,183.7,193.0056422
183.3,183.3,192.5567208
182.8,182.8,192.1094522
182.4,182.4,191.6638281
182.0,182.0,191.2198401
181.6,181.6,190.77748
181.1,181.1,190.3367398
180.7,180.7,189.8976112
180.3,180.3,189.4600863
179.9,179.9,189.024157
179.4,179.4,188.5898154
179.0,179.0,188.1570535
178.6,178.6,187.7258635
178.2,178.2,187.2962376
177.8,177.8,186.8681681
177.4,177.4,186.4416472
177.0,177.0,186.0166673
176.6,176.6,185.5932207
176.2,176.2,185.1713
175.8,175.8,184.7508975
175.3,175.3,184.3320058
174.9,174.9,183.9146175
174.5,174.5,183.4987252
174.1,174.1,183.0843216
173.7,173.7,182.6713994
173.4,173.4,182.2599514
173.0,173.0,181.8499702
172.6,172.6,181.4414489
172.2,172.2,181.0343803
171.8,171.8,180.6287574
171.4,171.4,180.224573
171.0,171.0,179.8218203
170.6,170.6,179.4204923
170.2,170.2,179.0205821
169.8,169.8,178.6220828
169.5,169.5,178.2249878
169.1,169.1,177.8292901
168.7,168.7,177.4349831
168.3,168.3,177.04206
167.9,167.9,176.6505143
167.6,167.6,176.2603394
167.2,167.2,175.8715286
166.8,166.8,175.4840755
166.4,166.4,175.0979736
166.1,166.1,174.7132164
165.7,165.7,174.3297976
165.3,165.3,173.9477107
165.0,165.0,173.5669495
164.6,164.6,173.1875076
164.2,164.2,172.8093788
163.9,163.9,172.4325568
163.5,163.5,172.0570356
163.2,163.2,171.682809
162.8,162.8,171.3098709
162.4,162.4,170.9382151
162.1,162.1,170.5678357
161.7,161.7,170.1987267
161.4,161.4,169.8308821
161.0,161.0,169.464296
160.7,160.7,169.0989626
160.3,160.3,168.7348758
160.0,160.0,168.3720301
159.6,159.6,168.0104195
159.3,159.3,167.6500383
158.9,158.9,167.2908807
158.6,158.6,166.9329412
158.2,158.2,166.5762141
157.9,157.9,166.2206937
157.5,157.5,165.8663745
157.2,157.2,165.5132509
156.9,156.9,165.1613174
156.5,156.5,164.8105685
156.2,156.2,164.4609988
155.8,155.8,164.1126028
155.5,155.5,163.7653752
155.2,155.2,163.4193106
154.8,154.8,163.0744036
154.5,154.5,162.730649
154.2,154.2,162.3880416
153.9,153.9,162.046576
153.5,153.5,161.706247
153.2,153.2,161.3670496
152.9,152.9,161.0289786
152.5,152.5,160.6920287
152.2,152.2,160.356195
151.9,151.9,160.0214725
151.6,151.6,159.687856
151.3,151.3,159.3553405
150.9,150.9,159.0239212
150.6,150.6,158.6935931
150.3,150.3,158.3643511
150.0,150.0,158.0361906
149.7,149.7,157.7091066
149.4,149.4,157.3830942
149.0,149.0,157.0581488
148.7,148.7,156.7342654
148.4,148.4,156.4114394
148.1,148.1,156.089666
147.8,147.8,155.7689406
147.5,147.5,155.4492585
147.2,147.2,155.130615
146.9,146.9,154.8130055
146.6,146.6,154.4964254
146.3,146.3,154.1808703
146.0,146.0,153.8663354
145.7,145.7,153.5528164
145.4,145.4,153.2403087
145.1,145.1,152.9288079
144.8,144.8,152.6183096
144.5,144.5,152.3088092
144.2,144.2,152.0003026
143.9,143.9,151.6927851
143.6,143.6,151.3862527
143.3,143.3,151.0807008
143.0,143.0,150.7761253
142.7,142.7,150.4725219
142.4,142.4,150.1698863
142.1,142.1,149.8682143
141.8,141.8,149.5675017
141.5,141.5,149.2677444
141.2,141.2,148.9689381
140.9,140.9,148.6710789
140.7,140.7,148.3741624
140.4,140.4,148.0781848
140.1,140.1,147.7831419
139.8,139.8,147.4890297
139.5,139.5,147.1958441
139.2,139.2,146.9035812
139.0,139.0,146.612237
138.7,138.7,146.3218076
138.4,138.4,146.032289
138.1,138.1,145.7436774
137.8,137.8,145.4559688
137.6,137.6,145.1691593
137.3,137.3,144.8832452
137.0,137.0,144.5982226
136.7,136.7,144.3140877
136.5,136.5,144.0308367
136.2,136.2,143.7484659
135.9,135.9,143.4669715
135.6,135.6,143.1863498
135.4,135.4,142.9065972
135.1,135.1,142.6277098
134.8,134.8,142.3496841
134.6,134.6,142.0725165
134.3,134.3,141.7962032
134.0,134.0,141.5207408
133.8,133.8,141.2461256
133.5,133.5,140.972354
133.2,133.2,140.6994226
133.0,133.0,140.4273277
132.7,132.7,140.1560659
132.5,132.5,139.8856337
132.2,132.2,139.6160276
131.9,131.9,139.3472442
131.7,131.7,139.0792801
131.4,131.4,138.8121317
131.2,131.2,138.5457958
130.9,130.9,138.2802689
130.6,130.6,138.0155477
130.4,130.4,137.7516289
130.1,130.1,137.4885091
129.9,129.9,137.226185
129.6,129.6,136.9646533
129.4,129.4,136.7039107
129.1,129.1,136.4439541
128.9,128.9,136.1847801
128.6,128.6,135.9263855
128.4,128.4,135.6687671
128.1,128.1,135.4119218
127.9,127.9,135.1558463
127.6,127.6,134.9005376
127.4,127.4,134.6459924
127.1,127.1,134.3922076
126.9,126.9,134.1391802
126.7,126.7,133.886907
126.4,126.4,133.635385
126.2,126.2,133.3846111
125.9,125.9,133.1345823
125.7,125.7,132.8852955
125.4,125.4,132.6367477
125.2,125.2,132.388936
125.0,125.0,132.1418573
124.7,124.7,131.8955088
124.5,124.5,131.6498873
124.3,124.3,131.4049901
124.0,124.0,131.1608141
123.8,123.8,130.9173565
123.6,123.6,130.6746144
123.3,123.3,130.4325849
123.1,123.1,130.1912651
122.9,122.9,129.9506523
122.6,122.6,129.7107435
122.4,122.4,129.471536
122.2,122.2,129.2330269
121.9,121.9,128.9952135
121.7,121.7,128.758093
121.5,121.5,128.5216625
121.2,121.2,128.2859195
121.0,121.0,128.0508611
120.8,120.8,127.8164847
120.6,120.6,127.5827874
120.3,120.3,127.3497667
120.1,120.1,127.1174198
119.9,119.9,126.8857441
119.7,119.7,126.654737
119.4,119.4,126.4243957
119.2,119.2,126.1947177
119.0,119.0,125.9657004
118.8,118.8,125.7373411
118.6,118.6,125.5096373
118.3,118.3,125.2825864
118.1,118.1,125.0561859
117.9,117.9,124.8304331
117.7,117.7,124.6053256
117.5,117.5,124.3808608
117.3,117.3,124.1570362
117.0,117.0,123.9338494
116.8,116.8,123.7112978
